,territoire,Utilisateurs,Sessions,Pages vues
du 2019-12-01 au 2020-01-01,Département 06,1,1,4
du 2020-01-01 au 2020-02-01,Département 06,8,15,82
du 2020-02-01 au 2020-03-01,Département 06,10,26,201
du 2020-03-01 au 2020-04-01,Département 06,41,49,203
du 2020-04-01 au 2020-05-01,Département 06,52,86,587
du 2020-05-01 au 2020-06-01,Département 06,40,95,553
du 2020-06-01 au 2020-07-01,Département 06,12,30,314
du 2020-07-01 au 2020-08-01,Département 06,15,23,99
du 2020-08-01 au 2020-09-01,Département 06,9,9,14
du 2020-09-01 au 2020-10-01,Département 06,22,32,275
du 2020-10-01 au 2020-11-01,Département 06,30,36,231
du 2020-11-01 au 2020-12-01,Département 06,34,41,177
du 2020-12-01 au 2021-01-01,Département 06,24,41,186
du 2021-01-01 au 2021-02-01,Département 06,41,72,355
du 2021-02-01 au 2021-03-01,Département 06,70,181,691
du 2021-03-01 au 2021-04-01,Département 06,124,269,959
du 2021-04-01 au 2021-05-01,Département 06,91,225,1494
du 2021-05-01 au 2021-06-01,Département 06,114,300,1510
du 2021-06-01 au 2021-07-01,Département 06,134,291,1536
du 2021-07-01 au 2021-08-01,Département 06,101,209,1194
du 2021-08-01 au 2021-09-01,Département 06,184,332,1496
du 2021-09-01 au 2021-10-01,Département 06,197,346,1158
du 2021-10-01 au 2021-11-01,Département 06,189,321,1171
du 2021-11-01 au 2021-12-01,Département 06,255,424,1634
du 2021-12-01 au 2022-01-01,Département 06,231,356,1278
du 2022-01-01 au 2022-02-01,Département 06,363,523,1851
du 2022-02-01 au 2022-03-01,Département 06,44,53,121
du 2019-12-01 au 2020-01-01,Département 07,1,1,9
du 2020-03-01 au 2020-04-01,Département 07,10,18,35
du 2020-04-01 au 2020-05-01,Département 07,13,29,44
du 2020-05-01 au 2020-06-01,Département 07,4,13,16
du 2020-06-01 au 2020-07-01,Département 07,3,9,12
du 2020-07-01 au 2020-08-01,Département 07,1,4,5
du 2020-08-01 au 2020-09-01,Département 07,3,3,16
du 2020-09-01 au 2020-10-01,Département 07,1,1,4
du 2020-10-01 au 2020-11-01,Département 07,2,2,3
du 2020-11-01 au 2020-12-01,Département 07,5,8,199
du 2021-01-01 au 2021-02-01,Département 07,2,2,2
du 2021-02-01 au 2021-03-01,Département 07,1,1,1
du 2021-03-01 au 2021-04-01,Département 07,3,3,4
du 2021-04-01 au 2021-05-01,Département 07,10,12,17
du 2021-05-01 au 2021-06-01,Département 07,13,17,29
du 2021-06-01 au 2021-07-01,Département 07,8,10,13
du 2021-07-01 au 2021-08-01,Département 07,4,28,493
du 2021-08-01 au 2021-09-01,Département 07,3,5,10
du 2021-09-01 au 2021-10-01,Département 07,7,7,15
du 2021-10-01 au 2021-11-01,Département 07,11,16,31
du 2021-11-01 au 2021-12-01,Département 07,11,11,17
du 2021-12-01 au 2022-01-01,Département 07,16,20,43
du 2022-01-01 au 2022-02-01,Département 07,34,42,83
du 2022-02-01 au 2022-03-01,Département 07,1,1,2
du 2019-12-01 au 2020-01-01,Département 13,8,10,164
du 2020-01-01 au 2020-02-01,Département 13,20,31,107
du 2020-02-01 au 2020-03-01,Département 13,5,7,26
du 2020-03-01 au 2020-04-01,Département 13,133,173,2411
du 2020-04-01 au 2020-05-01,Département 13,175,209,1223
du 2020-05-01 au 2020-06-01,Département 13,37,100,1986
du 2020-06-01 au 2020-07-01,Département 13,29,44,617
du 2020-07-01 au 2020-08-01,Département 13,32,43,494
