,codePostal,location,Code Postal,Commune,dep
0,273,75018,75018,PARIS-18E-ARRONDISSEMENT,75
1,259,75020,75020,PARIS-20E-ARRONDISSEMENT,75
2,247,75013,75013,PARIS-13E-ARRONDISSEMENT,75
3,229,75019,75019,PARIS-19E-ARRONDISSEMENT,75
4,211,33000,,,33
5,206,75015,75015,PARIS-15E-ARRONDISSEMENT,75
6,203,44000,,,44
7,193,67000,,,67
8,191,75014,75014,PARIS-14E-ARRONDISSEMENT,75
9,190,75012,75012,PARIS-12E-ARRONDISSEMENT,75
10,172,75011,75011,PARIS-11E-ARRONDISSEMENT,75
11,164,75010,75010,PARIS-10E-ARRONDISSEMENT,75
12,141,92000,92000,NANTERRE,92
13,131,75017,75017,PARIS-17E-ARRONDISSEMENT,75
14,124,44100,,,44
15,117,06000,,,06
16,111,36000,36000,CHATEAUROUX,36
17,106,34000,,,34
18,105,75005,75005,PARIS-5E-ARRONDISSEMENT,75
19,105,75004,75004,PARIS-4E-ARRONDISSEMENT,75
20,100,44300,,,44
21,99,93100,93100,MONTREUIL,93
22,98,44600,44600,SAINT-NAZAIRE,44
23,97,93200,,,93
24,94,33300,,,33
25,85,33800,,,33
26,85,94000,94000,CRETEIL,94
27,84,67100,,,67
28,83,35000,,,35
29,80,92100,92100,BOULOGNE-BILLANCOURT,92
30,80,75009,75009,PARIS-9E-ARRONDISSEMENT,75
31,77,06300,,,06
32,75,78200,78200,FONTENAY-MAUVOISIN,78
33,75,78200,78200,BOINVILLIERS,78
34,75,78200,78200,MAGNANVILLE,78
35,75,78200,78200,BOISSY-MAUVOISIN,78
36,75,78200,78200,SOINDRES,78
37,75,78200,78200,FAVRIEUX,78
38,75,78200,78200,MANTES-LA-JOLIE,78
39,75,78200,78200,JOUY-MAUVOISIN,78
40,75,78200,78200,MENERVILLE,78
41,75,78200,78200,BUCHELAY,78
42,75,78200,78200,PERDREAUVILLE,78
43,75,78200,78200,FLACOURT,78
44,73,44200,,,44
45,73,95100,95100,ARGENTEUIL,95
46,71,94200,94200,IVRY-SUR-SEINE,94
47,70,76000,,,76
48,70,75016,75016,PARIS-16E-ARRONDISSEMENT,75
49,66,92160,92160,ANTONY,92
50,65,92700,92700,COLOMBES,92
51,65,75008,75008,PARIS-8E-ARRONDISSEMENT,75
52,64,75003,75003,PARIS-3E-ARRONDISSEMENT,75
53,63,78190,78190,TRAPPES,78
54,63,75006,75006,PARIS-6E-ARRONDISSEMENT,75
55,63,75001,75001,PARIS-1ER-ARRONDISSEMENT,75
56,61,94500,94500,CHAMPIGNY-SUR-MARNE,94
57,61,93300,93300,AUBERVILLIERS,93
58,61,67200,,,67
59,61,78000,78000,VERSAILLES,78
60,61,92130,92130,ISSY-LES-MOULINEAUX,92
61,60,94400,94400,VITRY-SUR-SEINE,94
62,58,92230,92230,GENNEVILLIERS,92
63,58,77000,77000,LIVRY-SUR-SEINE,77
64,58,77000,77000,MELUN,77
65,58,77000,77000,LA ROCHETTE,77
66,58,77000,77000,VAUX-LE-PENIL,77
67,55,75007,75007,PARIS-7E-ARRONDISSEMENT,75
68,54,59000,,,59
69,53,78130,78130,LES MUREAUX,78
70,53,78130,78130,CHAPET,78
71,53,92500,92500,RUEIL-MALMAISON,92
72,52,92120,92120,MONTROUGE,92
73,52,93600,93600,AULNAY-SOUS-BOIS,93
74,52,92600,92600,ASNIERES-SUR-SEINE,92
75,52,78100,78100,SAINT-GERMAIN-EN-LAYE,78
76,50,93500,93500,PANTIN,93
77,49,94100,,,94
78,48,44400,44400,REZE,44
79,48,75002,75002,PARIS-2E-ARRONDISSEMENT,75
80,48,78300,78300,POISSY,78
81,48,,,,
82,47,06200,,,06
83,46,92140,92140,CLAMART,92
84,46,77100,77100,NANTEUIL-LES-MEAUX,77
85,46,77100,77100,MEAUX,77
86,46,77100,77100,MAREUIL-LES-MEAUX,77
87,46,92150,92150,SURESNES,92
88,45,94800,94800,VILLEJUIF,94
89,45,92400,92400,COURBEVOIE,92
90,45,94600,94600,CHOISY-LE-ROI,94
91,44,63000,,,63
92,44,92200,92200,NEUILLY-SUR-SEINE,92
93,44,92110,92110,CLICHY,92
94,44,78500,78500,SARTROUVILLE,78
95,42,33100,,,33
96,42,95140,95140,GARGES-LES-GONESSE,95
97,41,92290,92290,CHATENAY-MALABRY,92
98,40,93000,93000,BOBIGNY,93
99,40,92240,92240,MALAKOFF,92
100,40,92220,92220,BAGNEUX,92
101,39,93140,93140,BONDY,93
102,39,92800,92800,PUTEAUX,92
103,39,91300,91300,MASSY,91
104,38,13003,13003,MARSEILLE--3E--ARRONDISSEMENT,13
105,38,95800,95800,COURDIMANCHE,95
106,37,93160,93160,NOISY-LE-GRAND,93
107,37,93120,93120,LA COURNEUVE,93
108,36,94120,94120,FONTENAY-SOUS-BOIS,94
109,36,06130,,,06
110,36,75116,,,75
111,35,92210,92210,SAINT-CLOUD,92
112,35,93400,93400,SAINT-OUEN,93
113,35,29200,29200,BREST,29
114,34,06600,,,06
115,34,93270,93270,SEVRAN,93
116,34,93700,93700,DRANCY,93
117,34,95000,95000,BOISEMONT,95
118,34,95000,95000,NEUVILLE-SUR-OISE,95
119,33,34090,,,34
120,33,33500,33500,LIBOURNE,33
121,33,33500,33500,LES BILLAUX,33
122,33,33500,33500,POMEROL,33
123,33,33500,33500,ARVEYRES,33
124,33,33500,33500,LALANDE-DE-POMEROL,33
125,33,33500,33500,NEAC,33
126,33,34080,,,34
127,32,78370,78370,PLAISIR,78
128,32,44800,44800,SAINT-HERBLAIN,44
129,32,95200,95200,SARCELLES,95
130,32,76100,,,76
131,31,91000,91000,EVRY,91
132,31,92260,92260,FONTENAY-AUX-ROSES,92
133,31,78700,78700,CONFLANS-SAINTE-HONORINE,78
134,30,94140,94140,ALFORTVILLE,94
135,30,91100,91100,CORBEIL-ESSONNES,91
136,30,91100,91100,VILLABE,91
137,30,92300,92300,LEVALLOIS-PERRET,92
138,30,94190,94190,VILLENEUVE-SAINT-GEORGES,94
139,29,92370,92370,CHAVILLE,92
140,29,78120,78120,CLAIREFONTAINE-EN-YVELINES,78
141,29,78120,78120,SONCHAMP,78
142,29,78120,78120,RAMBOUILLET,78
143,29,95400,95400,VILLIERS-LE-BEL,95
144,29,95400,95400,ARNOUVILLE,95
145,29,93800,93800,EPINAY-SUR-SEINE,93
146,28,93170,93170,BAGNOLET,93
147,27,94230,94230,CACHAN,94
148,27,91700,91700,FLEURY-MEROGIS,91
149,27,91700,91700,VILLIERS-SUR-ORGE,91
150,27,91700,91700,SAINTE-GENEVIEVE-DES-BOIS,91
151,27,94270,94270,LE KREMLIN-BICETRE,94
152,27,93110,93110,ROSNY-SOUS-BOIS,93
153,27,06500,06500,CASTELLAR,06
154,27,06500,06500,GORBIO,06
155,27,06500,06500,MENTON,06
156,27,06500,06500,SAINTE-AGNES,06
