,Code_Postal,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,Ville
0,,,2.0,3.0,20.0,,13.0,6.0,13.0,,
1,00000,,,,1.0,,,,,,
2,00097,,,,,,4.0,,1.0,,
3,01000,,22.0,3.0,13.0,22.0,1.0,2.0,,,SAINT-DENIS-LES-BOURG
4,01200,,,1.0,,1.0,,,,,CONFORT
5,01240,,1.0,,,,,,,,SAINT-GERMAIN-SUR-RENON
6,01300,,,,,,,1.0,,,MARIGNIEU
7,01600,,,,7.0,,,,,,TOUSSIEUX
8,01630,,,,,,,,9.0,,CHALLEX
9,01700,,2.0,,1.0,,,24.0,1.0,,NEYRON
10,01750,,,1.0,,,,,,,REPLONGES
11,01800,,,1.0,,,,,,,CHARNOZ-SUR-AIN
12,01960,,,50.0,7.0,1.0,,,8.0,,PERONNAS
13,02000,,,1.0,13.0,2.0,8.0,1.0,6.0,,BRAYE-EN-LAONNOIS
14,02100,,,8.0,6.0,10.0,7.0,2.0,17.0,9.0,NEUVILLE-SAINT-AMAND
15,02130,,,,2.0,,,,,,BEUVARDES
16,02140,,,,2.0,,,4.0,,,NAMPCELLES-LA-COUR
17,02150,,,,,2.0,,,,,LA SELVE
18,02200,,,,,,,3.0,,1.0,BELLEU
19,02370,,,,,,,1.0,,,CHAVONNE
20,02400,,,13.0,1.0,18.0,,,3.0,,LUCY-LE-BOCAGE
21,02420,,,,,,,,1.0,,AUBENCHEUL-AUX-BOIS
22,02620,,,,,1.0,,,,,BUIRONFOSSE
23,02700,,,,5.0,,,,,1.0,FRIERES-FAILLOUEL
24,03000,,1.0,,12.0,,,20.0,11.0,,NEUVY
25,03100,2.0,1.0,2.0,5.0,24.0,11.0,1.0,35.0,4.0,MONTLUCON
26,03190,,1.0,,,,,,,,SAINT-CAPRAIS
27,03200,,4.0,,5.0,,,2.0,2.0,1.0,LE VERNET
28,03360,,,,,3.0,,,,,URCAY
29,03370,,,,,,,,2.0,,MESPLES
