,Code_Postal,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,Ville
0,,,2.0,3.0,20.0,,13.0,6.0,16.0,3.0,11.0,7.0,,
1,00000,,,,1.0,,,,,,,,,
2,00097,,,,,,4.0,,1.0,,,,,
3,01000,,22.0,3.0,13.0,22.0,1.0,2.0,,6.0,,9.0,4.0,SAINT-DENIS-LES-BOURG
4,01100,,,,,,,,,4.0,,,2.0,GROISSIAT
5,01120,,,,,,,,,,2.0,,,NIEVROZ
6,01140,,,,,,,,,,1.0,,,PEYZIEUX-SUR-SAONE
7,01200,,,1.0,,1.0,,,,,,,,CONFORT
8,01240,,1.0,,,,,,,,,,,SAINT-GERMAIN-SUR-RENON
9,01300,,,,,,,1.0,,,,,,MARIGNIEU
10,01600,,,,7.0,,,,,,,,,TOUSSIEUX
11,01630,,,,,,,,9.0,,,,,CHALLEX
12,01700,,2.0,,1.0,,,24.0,1.0,,,,,NEYRON
13,01750,,,1.0,,,,,,,,,,REPLONGES
14,01800,,,1.0,,,,,,,,,,CHARNOZ-SUR-AIN
15,01960,,,50.0,8.0,1.0,3.0,,8.0,,,,,PERONNAS
16,02000,,,1.0,13.0,2.0,8.0,1.0,6.0,3.0,,4.0,,BRAYE-EN-LAONNOIS
17,02100,,,8.0,6.0,10.0,7.0,2.0,17.0,23.0,2.0,4.0,,NEUVILLE-SAINT-AMAND
18,02130,,,,2.0,,,,,,,,,BEUVARDES
19,02140,,,,2.0,,,4.0,,,,,,NAMPCELLES-LA-COUR
20,02150,,,,,2.0,,,,,,,,LA SELVE
21,02200,,,,,,,3.0,,1.0,,,,BELLEU
22,02370,,,,,,,1.0,,,,,,CHAVONNE
23,02400,,,13.0,1.0,18.0,,,3.0,,,3.0,,LUCY-LE-BOCAGE
24,02420,,,,,,,,1.0,,,,,AUBENCHEUL-AUX-BOIS
25,02620,,,,,1.0,,,,,,,,BUIRONFOSSE
26,02700,,,,5.0,,,,,1.0,,,,FRIERES-FAILLOUEL
27,03000,,1.0,,12.0,,,20.0,11.0,26.0,2.0,2.0,,NEUVY
28,03100,2.0,1.0,3.0,5.0,24.0,11.0,1.0,35.0,7.0,2.0,2.0,,MONTLUCON
29,03190,,1.0,,,,,,,,,,,SAINT-CAPRAIS
30,03200,,4.0,,5.0,,,2.0,2.0,3.0,7.0,9.0,,LE VERNET
31,03360,,,,,3.0,,,,,,,,URCAY
32,03370,,,,,,,,2.0,,,,,MESPLES
33,03400,,,,,,,2.0,,,,3.0,,GENNETINES
34,03500,,,,,,,1.0,,,,,,CESSET
35,03600,,,,,,,,,,,1.0,,LOUROUX-DE-BEAUNE
36,04000,,,,,,,2.0,,1.0,11.0,6.0,,DIGNE-LES-BAINS
37,04100,,,,2.0,,13.0,,1.0,5.0,4.0,5.0,,MANOSQUE
38,04160,,,2.0,,,,,,,,,,CHATEAU-ARNOUX-SAINT-AUBAN
