territoire,status,lieu_id,pourcentage
,0,3,0.0
06,544,547,99.45
07,38,38,100.0
08,1,1,100.0
13,110,110,100.0
15,20,20,100.0
16,0,1,0.0
18,1,1,100.0
24,0,2,0.0
26,1,1,100.0
33,664,718,92.48
34,67,67,100.0
35,1,1,100.0
36,56,56,100.0
37,1,1,100.0
44,755,769,98.18
59,8,8,100.0
63,59,59,100.0
66,1,1,100.0
67,287,289,99.31
69,1,1,100.0
75,1359,1487,91.39
76,59,59,100.0
77,358,359,99.72
78,936,949,98.63
91,284,284,100.0
92,757,799,94.74
93,701,849,82.57
94,793,803,98.75
95,407,412,98.79
Total,8269,8695,95.1
