,createdAt,,06,13,15,21,2A,33,34,36,44,59,63,67,69,7,75,76,77,78,83,87,91,92,93,94,95,datePresentation, cumulé,21 cumulé,2A cumulé,63 cumulé,7 cumulé,83 cumulé,87 cumulé,06 cumulé,13 cumulé,15 cumulé,33 cumulé,34 cumulé,36 cumulé,44 cumulé,59 cumulé,67 cumulé,69 cumulé,75 cumulé,76 cumulé,77 cumulé,78 cumulé,91 cumulé,92 cumulé,93 cumulé,94 cumulé,95 cumulé,Général cumulé
0,2020-11,,,,,,,,,,,,,23.0,,,13.0,,,,,,,,,,,novembre 2020,,,,,,,,,,,,,,,,23.0,,13.0,,,,,,,,,36.0
1,2020-12,13.0,,,,,,71.0,,,41.0,,,31.0,1.0,,131.0,,,51.0,,,,38.0,53.0,48.0,,décembre 2020,13.0,,,,,,,,,,71.0,,,41.0,,54.0,1.0,144.0,,,51.0,,38.0,53.0,48.0,,501.0
2,2021-01,1.0,,,,,,5.0,,,3.0,1.0,,10.0,,,17.0,,,4.0,,,,12.0,3.0,2.0,1.0,janvier 2021,14.0,,,,,,,,,,76.0,,,44.0,1.0,64.0,1.0,161.0,,,55.0,,50.0,56.0,50.0,1.0,559.0
3,2021-02,1.0,2.0,,,,,7.0,,,3.0,,,11.0,,,15.0,,,6.0,,,,21.0,6.0,5.0,8.0,février 2021,15.0,,,,,,,2.0,,,83.0,,,47.0,1.0,75.0,1.0,176.0,,,61.0,,71.0,62.0,55.0,9.0,643.0
4,2021-03,,1.0,1.0,,,,4.0,,,13.0,,,6.0,,,38.0,,,24.0,,,,27.0,24.0,23.0,6.0,mars 2021,,,,,,,,3.0,1.0,,87.0,,,60.0,1.0,81.0,1.0,214.0,,,85.0,,98.0,86.0,78.0,15.0,810.0
5,2021-04,1.0,4.0,,,,,20.0,,2.0,16.0,,,15.0,,,5.0,,2.0,9.0,,,,8.0,12.0,8.0,6.0,avril 2021,16.0,,,,,,,7.0,1.0,,107.0,,2.0,76.0,1.0,96.0,1.0,219.0,,2.0,94.0,,106.0,98.0,86.0,21.0,917.0
6,2021-05,1.0,2.0,,,,,12.0,,,1.0,,,6.0,,,6.0,,2.0,1.0,,,2.0,2.0,6.0,7.0,3.0,mai 2021,17.0,,,,,,,9.0,1.0,,119.0,,2.0,77.0,1.0,102.0,1.0,225.0,,4.0,95.0,2.0,108.0,104.0,93.0,24.0,967.0
7,2021-06,,18.0,,,,,27.0,,,24.0,3.0,,15.0,,,44.0,,25.0,24.0,,,6.0,28.0,22.0,38.0,12.0,juin 2021,,,,,,,,27.0,1.0,,146.0,,2.0,101.0,4.0,117.0,1.0,269.0,,29.0,119.0,8.0,136.0,126.0,131.0,36.0,1253.0
8,2021-07,,8.0,,,,,16.0,,,8.0,1.0,,1.0,,,21.0,,16.0,5.0,,,6.0,17.0,6.0,19.0,12.0,juillet 2021,,,,,,,,35.0,1.0,,162.0,,2.0,109.0,5.0,118.0,1.0,290.0,,45.0,124.0,14.0,153.0,132.0,150.0,48.0,1389.0
9,2021-08,,12.0,,,,,5.0,,,1.0,,,,,,3.0,,17.0,4.0,,,2.0,,3.0,3.0,3.0,août 2021,,,,,,,,47.0,1.0,,167.0,,2.0,110.0,5.0,118.0,1.0,293.0,,62.0,128.0,16.0,153.0,135.0,153.0,51.0,1442.0
10,2021-09,,14.0,6.0,1.0,,,3.0,,1.0,4.0,,,3.0,,,10.0,,8.0,13.0,,,3.0,7.0,1.0,6.0,7.0,septembre 2021,,,,,,,,61.0,7.0,1.0,170.0,,3.0,114.0,5.0,121.0,1.0,303.0,,70.0,141.0,19.0,160.0,136.0,159.0,58.0,1529.0
11,2021-10,,3.0,25.0,1.0,,1.0,3.0,,6.0,4.0,,3.0,10.0,,,9.0,,23.0,3.0,1.0,,5.0,3.0,1.0,6.0,11.0,octobre 2021,,,1.0,3.0,,1.0,,64.0,32.0,2.0,173.0,,9.0,118.0,5.0,131.0,1.0,312.0,,93.0,144.0,24.0,163.0,137.0,165.0,69.0,1642.0
12,2021-11,,43.0,13.0,3.0,,,23.0,8.0,17.0,22.0,,4.0,15.0,,,36.0,3.0,12.0,22.0,,,5.0,32.0,14.0,20.0,8.0,novembre 2021,,,,7.0,,,,107.0,45.0,5.0,196.0,8.0,26.0,140.0,5.0,146.0,1.0,348.0,3.0,105.0,166.0,29.0,195.0,151.0,185.0,77.0,1938.0
13,2021-12,2.0,20.0,5.0,1.0,,,4.0,28.0,9.0,20.0,2.0,8.0,7.0,,,13.0,7.0,21.0,3.0,,,9.0,8.0,4.0,18.0,6.0,décembre 2021,19.0,,,15.0,,,,127.0,50.0,6.0,200.0,36.0,35.0,160.0,7.0,153.0,1.0,361.0,10.0,126.0,169.0,38.0,203.0,155.0,203.0,83.0,2123.0
14,2022-01,,39.0,4.0,4.0,2.0,,6.0,43.0,8.0,10.0,2.0,8.0,10.0,,10.0,23.0,2.0,13.0,28.0,,1.0,5.0,5.0,2.0,6.0,3.0,janvier 2022,,2.0,,23.0,10.0,,1.0,166.0,54.0,10.0,206.0,79.0,43.0,170.0,9.0,163.0,1.0,384.0,12.0,139.0,197.0,43.0,208.0,157.0,209.0,86.0,2336.0
15,2022-02,,3.0,,,,,1.0,1.0,2.0,,1.0,,2.0,,,1.0,,,,,,,1.0,,,,février 2022,,,,,,,,169.0,54.0,10.0,207.0,80.0,45.0,170.0,10.0,165.0,1.0,385.0,12.0,139.0,197.0,43.0,209.0,157.0,209.0,86.0,2348.0
