,organization_id,name,users.TOTAL,territories,percent
3288,3921,API Provence (06),12.0,06,0.7326007326007326
2651,3213,Département des Alpes-Maritimes,10.0,06,0.6105006105006106
1839,2259,Secours Catholique des Hauts-de-Seine,8.0,92,0.4884004884004884
1289,1630,Département des Yvelines,7.0,78,0.4273504273504274
2659,3221,Secours Catholique 95,7.0,95,0.4273504273504274
707,936,Association l'Etage,7.0,67,0.4273504273504274
3648,4305,Solidarité Accueil,6.0,36,0.3663003663003663
3666,4324,Communauté d'agglomération Sophia Antipolis (CASA) (06),6.0,06,0.3663003663003663
2843,3425,Secours Catholique (06),6.0,06,0.3663003663003663
638,826,Secours Populaire Français | Loire-Atlantique,6.0,44,0.3663003663003663
2566,3046,Secours Catholique - Délégation des Yvelines,6.0,78,0.3663003663003663
2816,3394,Centres Médico-Sociaux (CMS) de Strasbourg,6.0,67,0.3663003663003663
715,944,Centre Communal d'Action Sociale de Strasbourg,5.0,67,0.3052503052503053
2992,3594,Organisation de test Tech,5.0,59,0.3052503052503053
2606,3160,Aurore 95,5.0,95,0.3052503052503053
3552,4202,Chantiers Yvelines,5.0,78,0.3052503052503053
2844,3426,CCAS (Centre Communal d'Action Sociale) Nice (06),5.0,06,0.3052503052503053
2261,2697,Ville de Créteil,5.0,94,0.3052503052503053
640,863,Restos du Cœur 44,5.0,44,0.3052503052503053
1838,2258,Ville de Courbevoie,4.0,92,0.2442002442002442
300,362,Secours Populaire Français,4.0,33,0.2442002442002442
3690,4348,CCAS d'Aubagne,4.0,13,0.2442002442002442
628,757,Secours Catholique 44,4.0,44,0.2442002442002442
1175,1486,Secours catholique | CEDRE,4.0,75,0.2442002442002442
2842,3424,"L'Atelier, lieu d'accueil dédié à la santé des jeunes",4.0,93,0.2442002442002442
3728,4389,Secours Catholique 63,4.0,63,0.2442002442002442
2258,2694,GAS,4.0,94,0.2442002442002442
1932,2354,Amicale du Nid 93,4.0,93,0.2442002442002442
2239,2674,Secours Populaire Français du Val-de-Marne,4.0,94,0.2442002442002442
3721,4382,Combo 77,4.0,77,0.2442002442002442
3599,4256,Union Départementale des Associations Familiales  de l'Indre  (U.D.A.F 36),4.0,36,0.2442002442002442
1581,1993,Secours Populaire des Hauts-de-Seine,4.0,92,0.2442002442002442
809,1049,Aurore,4.0,75,0.2442002442002442
3462,4108,CCAS de Moissy-Cramayel,4.0,77,0.2442002442002442
1504,1893,Les Restos du Coeur - Les Relais du Coeur des Yvelines,4.0,78,0.2442002442002442
3360,4003,Mairie de Nemours,4.0,77,0.2442002442002442
1274,1613,Dom'Asile,3.0,78,0.18315018315018314
1897,2317,Secours Populaire Français - fédération de la Seine-Saint-Denis,3.0,93,0.18315018315018314
64,83,CCAS de Cenon,3.0,33,0.18315018315018314
2562,3041,Secours Catholique - Délégation de la Seine-Saint-Denis,3.0,93,0.18315018315018314
3362,4006,Pro Emploi,3.0,77,0.18315018315018314
3246,3877,"VITA-LIS, Mission Locale Paris-Saclay",3.0,91,0.18315018315018314
1303,1649,Association Equalis,3.0,78,0.18315018315018314
2701,3264,Bim Bam Job,3.0,75,0.18315018315018314
2845,3427,DDETSPP de l'Indre,3.0,36,0.18315018315018314
3644,4301,CCAS - Châteauroux,3.0,36,0.18315018315018314
2758,3323,Vie Libre 95,3.0,95,0.18315018315018314
2836,3418,CCAS de Villiers-le-Bel,3.0,95,0.18315018315018314
2766,3332,Maison des Adolescents des Hauts-de-Seine,3.0,92,0.18315018315018314
2832,3414,Le CCAS de Villeparisis,3.0,77,0.18315018315018314
1486,1848,Croix-Rouge des Yvelines - Unité locale Boucle de Seine,3.0,78,0.18315018315018314
655,884,Médecins du Monde - Alsace,3.0,67,0.18315018315018314
295,357,Centres d'animation de Bordeaux,3.0,33,0.18315018315018314
1176,1489,Secours populaire français - Fédération de Paris,3.0,75,0.18315018315018314
693,922,Fédération de Charité,3.0,67,0.18315018315018314
3294,3929,Pimms Médiation Côte d'Azur (06),3.0,06,0.18315018315018314
2590,3111,Plurielles,3.0,67,0.18315018315018314
2591,3117,Mission Locale de la Plaine Centrale du Val de Marne,3.0,94,0.18315018315018314
720,949,Les Restos du Coeur,3.0,67,0.18315018315018314
942,1205,Emmaüs | Emmaüs Connect,3.0,75,0.18315018315018314
705,934,Association ITHAQUE,3.0,67,0.18315018315018314
1120,1424,PASS PSY - Permanence d’accès aux soins de santé en milieu psychiatrique,3.0,75,0.18315018315018314
2561,3040,Les Restos du Coeur Gironde,3.0,33,0.18315018315018314
3608,4265,Ecole de la Deuxième Chance (E2C) - Yvelines,3.0,78,0.18315018315018314
2563,3042,Secours Populaire Français 67,3.0,67,0.18315018315018314
3681,4339,Etablissement Public de Santé d'Alsace (EPSAN),3.0,67,0.18315018315018314
915,1176,Croix-Rouge Française | Unité Locale du 9ème ,3.0,75,0.18315018315018314
919,1181,Croix-Rouge-Française | Laverie Solidaire,3.0,75,0.18315018315018314
689,918,Centre Social Protestant,3.0,67,0.18315018315018314
229,282,CCAS de Bordeaux,2.0,33,0.1221001221001221
2748,3313,CSC l'Escale,2.0,67,0.1221001221001221
2752,3317,Département de l'Eure-et-Loire,2.0,28,0.1221001221001221
2754,3319,Diapason,2.0,33,0.1221001221001221
1840,2260,Restos du coeur des Hauts-de-Seine,2.0,92,0.1221001221001221
210,260,Association Ovale Citoyen,2.0,33,0.1221001221001221
237,293,CEID-Addictions,2.0,33,0.1221001221001221
2569,3062,Déclic',2.0,78,0.1221001221001221
2760,3325,EBS Le Relais Val de Seine,2.0,78,0.1221001221001221
1607,2020,Maison de l'Amitié La Défense,2.0,92,0.1221001221001221
225,278,Toutes à l'abri,2.0,33,0.1221001221001221
2745,3310,Sémaphore santé 92 Nord,2.0,92,0.1221001221001221
1593,2005,Croix-Rouge des Hauts-de-Seine - Unité locale de Bourg-la-Reine,2.0,92,0.1221001221001221
211,262,Hôpital Saint André,2.0,33,0.1221001221001221
3522,4169,ARES Services 77,2.0,77,0.1221001221001221
215,268,Maison de l'Emploi (MDE Bordeaux),2.0,33,0.1221001221001221
2564,3044,DEFI Services +,2.0,78,0.1221001221001221
3532,4179,Maison Intercommunale de l'Insertion et de l'Emploi - Val Maubuée,2.0,77,0.1221001221001221
286,348,CAIO,2.0,33,0.1221001221001221
3553,4203,Centre Information Jeunesse 77,2.0,77,0.1221001221001221
2560,3039,Emmaüs alternatives - accueil de jour,2.0,93,0.1221001221001221
1521,1930,Centre IPC - Bilan de Santé (départements : 75 - 78 - 95 - 91),2.0,78,0.1221001221001221
1783,2200,Ville de Malakoff,2.0,92,0.1221001221001221
2619,3175,Direction de la Jeunesse Ville de Rueil-Malmaison,2.0,92,0.1221001221001221
274,334,Association Pour l'Accueil des Femmes En Difficulté,2.0,33,0.1221001221001221
1892,2312,Mission Locale Objectif Emploi Saint-Denis Centre-ville/Saint-Denis La Plaine/Pierrefitte,2.0,93,0.1221001221001221
1807,2224,CASH de Nanterre,2.0,92,0.1221001221001221
2661,3223,Secours populaire du Val d'Oise,2.0,95,0.1221001221001221
2662,3224,Mission Locale Vallée de Montmorency,2.0,95,0.1221001221001221
260,318,Wanted Community,2.0,33,0.1221001221001221
259,317,Le Pain de l'Amitié,2.0,33,0.1221001221001221
3556,4206,Insertoit,2.0,92,0.1221001221001221
2687,3250,Galice (06),2.0,06,0.1221001221001221
3583,4237,Ville de Nice (06),2.0,06,0.1221001221001221
2595,3139,Malakoff Humanis,2.0,33,0.1221001221001221
2694,3257,Gribouilli un nouveau souffle dans la garde a domicile,2.0,75,0.1221001221001221
3579,4233,Association Maison d'Accueil - AMA Arles,2.0,13,0.1221001221001221
2699,3262,Emmaüs Connect Créteil,2.0,94,0.1221001221001221
1686,2101,AL-ANON / Alateen France,2.0,92,0.1221001221001221
2640,3199,Ville de Suresnes - Espace JeuneS,2.0,92,0.1221001221001221
3557,4207,PIMMS Médiation 77,2.0,77,0.1221001221001221
346,426,SEMES,2.0,44,0.1221001221001221
1137,1444,Refettorio Paris,2.0,75,0.1221001221001221
1488,1850,Croix-Rouge des Yvelines - Unité locale de Saint-Germain-en-Laye,2.0,78,0.1221001221001221
1059,1338,les Psys du Coeur,2.0,75,0.1221001221001221
948,1212,Emmaüs Solidarité,2.0,75,0.1221001221001221
1029,1306,La Chorba,2.0,75,0.1221001221001221
1036,1313,"Aux Captifs, La Libération",2.0,75,0.1221001221001221
1043,1322,La Cloche IDF,2.0,75,0.1221001221001221
1055,1334,Les enfants du canal,2.0,75,0.1221001221001221
3136,3757,Les Restaurants du Coeur du Val d'Oise,2.0,95,0.1221001221001221
1093,1392,Médecins du monde | Mineurs non accompagnés,2.0,75,0.1221001221001221
3459,4105,Cap Jeunesse (06),2.0,06,0.1221001221001221
1099,1398,Mission populaire évangélique,2.0,75,0.1221001221001221
703,932,Entraide Le Relais,2.0,67,0.1221001221001221
701,930,Caritas Alsace,2.0,67,0.1221001221001221
692,921,Home Protestant,2.0,67,0.1221001221001221
1135,1442,P'tits Dej' Solidaires,2.0,75,0.1221001221001221
683,912,Emmaüs Connect,2.0,67,0.1221001221001221
785,1025,Association Générale des Étudiants de Paris,2.0,75,0.1221001221001221
3284,3917,Croix Rouge - Délégation départementale des Alpes-Maritimes (06),2.0,06,0.1221001221001221
944,1207,Emmaüs | Le Kiosque,2.0,75,0.1221001221001221
3277,3910,Restos du Coeur (06),2.0,06,0.1221001221001221
3276,3909,Fondation de Nice Patronage Saint-Pierre ACTES ,2.0,06,0.1221001221001221
